Id,Text Tweet,Sentiment
289,pakai sinyal lancar,Positif
290,data data kerja cepat internetnya pakai,Positif
291,nonton youtube kuota,Positif
292,youtube gratis,Positif
293,jaringan internetnya cepat alhamdulillah,Positif
294,pakai lancar,Positif
295,bonus telpon pakai kartu lancar jaya,Positif
296,lancar sinyal lancar,Positif
297,alhamdulillah lancar pakai,Positif
298,pakai internet lancar,Positif
299,jaya,Positif
300,sinyal,Netral
